web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1668862744-13","https://shopee.co.id/mall/brands/11042849","ZEROHEROES","https://shopee.co.id/zeroheroes.original","","435","97% (hitungan jam)","35,8RB","4.9 (12,3RB penilaian)","4 tahun lalu","null","KAB. MALANG","44%offZeroheroes | Kaos Kaki Tebal Premium Motif Garis OldschoolDiskon Rp1RBMurah LebayRp35.000Rp19.7002,3RB TerjualKAB. MALANG","https://shopee.co.id/Zeroheroes-Kaos-Kaki-Tebal-Premium-Motif-Garis-Oldschool-i.96006998.7450999154?sp_atk=2d92d30d-f239-4e81-83f1-c64d432240cc&xptdk=2d92d30d-f239-4e81-83f1-c64d432240cc","null","null","null","null","null"
"1668862835-14","https://shopee.co.id/mall/brands/11042849","Zanetti","https://shopee.co.id/zanettiofficial","","33","100%","821","4.9 (16 penilaian)","27 bulan lalu","null","KOTA JAKARTA UTARA","ZL 75004 Zanetti Kemeja Basic Polos Slim Fit Lengan Panjang Hitam PekatRp249.0003 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/ZL-75004-Zanetti-Kemeja-Basic-Polos-Slim-Fit-Lengan-Panjang-Hitam-Pekat-i.300622025.9010811787?sp_atk=d0cfd497-16c0-40f5-99b1-6713a48741cb&xptdk=d0cfd497-16c0-40f5-99b1-6713a48741cb","null","null","null","null","null"
"1668862869-15","https://shopee.co.id/mall/brands/11042849","Zalora","https://shopee.co.id/tolliverofficialshop","","3,3RB","99% (hitungan jam)","120,1RB","4.8 (13,7RB penilaian)","3 tahun lalu","null","KOTA BEKASI","57%offTolliver Hoodies With Zipper NavyDiskon 5%Rp349.000Rp149.000233 TerjualKOTA BEKASI","https://shopee.co.id/Tolliver-Hoodies-With-Zipper-Navy-i.166667048.4439560886?sp_atk=e65e7d30-c61b-45d7-96ba-ce7199a5c995&xptdk=e65e7d30-c61b-45d7-96ba-ce7199a5c995","null","null","null","null","null"
"1668862904-16","https://shopee.co.id/mall/brands/11042849","Zaemerci","https://shopee.co.id/zaemerci","","105","97% (hitungan jam)","22,9RB","4.8 (13,2RB penilaian)","33 bulan lalu","null","KOTA BANDUNG","20%offZaemerci - Kimono Kanvas  Lengan Panjang  Pria | Outer Casual Unisex OriginalDiskon 50%Pilih 2, diskon Rp15.000Rp72.000 - Rp153.0004,8RB TerjualKOTA BANDUNG","https://shopee.co.id/Zaemerci-Kimono-Kanvas-Lengan-Panjang-Pria-Outer-Casual-Unisex-Original-i.228751626.9915157509?sp_atk=27d78579-efa5-4982-8240-4134a78c730f&xptdk=27d78579-efa5-4982-8240-4134a78c730f","null","null","null","null","null"
"1668862938-17","https://shopee.co.id/mall/brands/11042849","Yesterday","https://shopee.co.id/yesterdayofficial","","437","95% (hitungan jam)","125,9RB","4.7 (131,8RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","60%offYesterday Waistbag Full Print Takei BlackDiskon Rp2,5RBPilih 3, bayar Rp195.000Rp195.000Rp78.0002,7RB TerjualKOTA BANDUNG","https://shopee.co.id/Yesterday-Waistbag-Full-Print-Takei-Black-i.173440820.5556050824?sp_atk=d2ac11c2-2275-42e2-a7ba-f242efc0a06d&xptdk=d2ac11c2-2275-42e2-a7ba-f242efc0a06d","null","null","null","null","null"
"1668862974-18","https://shopee.co.id/mall/brands/11042849","YEGE","https://shopee.co.id/yegeindonesia","","592","42% (hitungan jam)","7,4RB","4.7 (4,8RB penilaian)","4 tahun lalu","null","KOTA JAKARTA UTARA","YEGE Kemeja Koko Pria Putih HADAAD Lengan PanjangRp149.900144 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/YEGE-Kemeja-Koko-Pria-Putih-HADAAD-Lengan-Panjang-i.85448016.6642570864?sp_atk=1fd356bc-578c-4583-a2fe-810c53579070&xptdk=1fd356bc-578c-4583-a2fe-810c53579070","null","null","null","null","null"
"1668862998-19","https://shopee.co.id/mall/brands/11042849","Yauds.co","https://shopee.co.id/yauds.co","","37","25% (hitungan jam)","1,3RB","4.8 (50 penilaian)","4 tahun lalu","null","KOTA JAKARTA SELATAN","YAUDS.co x SPEAK UP TshirtRp220.0008 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/YAUDS.co-x-SPEAK-UP-Tshirt-i.128826850.9467307541?sp_atk=9e593d92-540e-4596-8e86-f0ab6011c483&xptdk=9e593d92-540e-4596-8e86-f0ab6011c483","null","null","null","null","null"
"1668863026-20","https://shopee.co.id/mall/brands/11042849","Yard Sale","https://shopee.co.id/yardsaleofficial","","690","71% (hitungan jam)","657","4.9 (93 penilaian)","21 bulan lalu","null","KOTA JAKARTA PUSAT","50%offYard Sale Costuum Kitsune Nylon Waist Bag OliveRp399.000Rp199.5001 TerjualKOTA JAKARTA PUSAT","https://shopee.co.id/Yard-Sale-Costuum-Kitsune-Nylon-Waist-Bag-Olive-i.383744581.4081437312?sp_atk=a264d62f-f323-46a0-9bc5-72b4a02b17e5&xptdk=a264d62f-f323-46a0-9bc5-72b4a02b17e5","null","null","null","null","null"
"1668863097-21","https://shopee.co.id/mall/brands/11042849","YAMASURIH","https://shopee.co.id/yamasurih.official","","57","42% (hitungan menit)","null","1,1RB","4.9 (171 penilaian)","null","KOTA BANDUNG","Yamasurih - Kaos Hitam ""Pecker Bozo"" T-ShirtRp200.00034 TerjualKOTA BANDUNG","https://shopee.co.id/Yamasurih-Kaos-Hitam-Pecker-Bozo-T-Shirt-i.272365407.4863866211?sp_atk=a4c0aab9-b567-4468-9d09-24bf4c8def9b&xptdk=a4c0aab9-b567-4468-9d09-24bf4c8def9b","null","null","null","null","null"
"1668863138-22","https://shopee.co.id/mall/brands/11042849","YAJUGAYA","https://shopee.co.id/yajugayaindonesia","","68","89% (hitungan jam)","1,4RB","4.9 (231 penilaian)","3 tahun lalu","null","KOTA BEKASI","Yajugaya - SituasuRp215.00035 TerjualKOTA BEKASI","https://shopee.co.id/Yajugaya-Situasu-i.161754161.2429683023?sp_atk=d8c5fba5-11f1-4f05-b282-c8f3ac3a2d84&xptdk=d8c5fba5-11f1-4f05-b282-c8f3ac3a2d84","null","null","null","null","null"
